7.397,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6.0,1.0
6.3,0.234,0.301,1.622,0.049,23.693,115.85,0.994,3.3,0.49,10.315,6.0,1.0
8.1,0.275,0.4,1.851,0.05,30.0,97.0,0.994,3.26,0.44,10.1,5.0,1.0
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6.0,1.0
6.793,0.262,0.32,8.5,0.058,47.0,186.0,0.997,3.19,0.4,9.9,6.0,1.0
8.1,0.275,0.4,1.853,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6.0,1.0
6.2,0.26,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,5.0,1.0
7.0,0.269,0.36,20.7,0.05,45.0,170.0,1.001,3.0,0.45,9.289,6.0,1.0
6.496,0.3,0.34,1.6,0.049,24.04,118.561,0.994,3.3,0.49,9.5,6.0,1.0
8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,5.0,1.0
8.1,0.27,0.41,1.45,0.041,11.0,63.0,0.9908,2.99,0.56,10.46,5.0,1.0
8.6,0.23,0.342,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5.0,1.0
7.9,0.18,0.38,1.661,0.04,25.164,75.0,0.992,3.18,0.63,11.025,6.0,1.0
6.6,0.16,0.271,1.5,0.044,22.545,107.496,0.9912,3.54,0.523,12.4,7.0,1.0
7.219,0.42,0.358,19.25,0.04,38.62,172.0,1.0002,2.98,0.67,9.7,5.0,1.0
6.6,0.17,0.38,1.5,0.032,24.306,112.0,0.9914,3.25,0.55,11.4,7.0,1.0
6.3,0.471,0.04,1.1,0.046,30.0,99.0,0.994,3.248,0.36,9.6,6.0,1.0
6.2,0.66,0.48,1.2,0.034,25.266,75.0,0.9892,3.33,0.39,12.8,8.0,1.0
7.108,0.34,0.311,1.1,0.04,17.0,77.216,0.9917,3.12,0.53,11.3,6.0,1.0
6.5,0.31,0.14,7.5,0.044,36.836,133.0,0.9955,3.185,0.5,9.5,5.0,1.0
6.2,0.66,0.48,2.742,0.029,29.0,75.0,0.9892,3.205,0.39,12.8,6.0,1.0
6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,7.0,1.0
6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.527,10.5,8.0,1.0
7.6,0.344,0.35,2.055,0.074,24.805,168.0,0.9937,3.123,0.51,9.666,5.0,1.0
6.387,0.236,0.306,1.3,0.045,16.0,142.0,0.993,3.42,0.47,10.0,5.0,1.0
7.0,0.25,0.32,8.667,0.046,56.0,150.1,0.9955,3.25,0.5,9.735,6.0,1.0
6.323,0.234,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,6.0,1.0
