39,6.0,77516.0,13,3,9.0,4,1,1,2174,0,40
50,2.0,83311.0,13,1,5.0,3,1,1,0,0,13
38,1.0,215650.0,9,2,7.0,4,1,1,0,0,40
53,1.0,234720.0,7,1,7.0,3,5,1,0,0,40
28,1.0,338410.0,13,1,6.0,1,5,2,0,0,40
37,1.0,284580.0,14,1,5.0,1,1,2,0,0,40
49,1.0,160190.0,5,6,3.0,4,5,2,0,0,16
52,2.0,209640.0,9,1,5.0,3,1,1,0,0,45
42,1.0,159450.0,13,1,5.0,3,1,1,5178,0,40
37,1.0,280460.0,10,1,5.0,3,5,1,0,0,80
30,6.0,141300.0,13,1,6.0,3,2,1,0,0,40
23,1.0,122270.0,13,3,9.0,2,1,2,0,0,30
32,1.0,205020.0,12,3,4.0,4,5,1,0,0,50
40,1.0,121770.0,11,1,2.0,3,2,1,0,0,40
34,1.0,245490.0,4,1,11.0,3,3,1,0,0,45
25,2.0,176760.0,9,3,10.0,2,1,1,0,0,35
32,1.0,186820.0,9,3,8.0,6,1,1,0,0,40
43,2.0,292180.0,14,2,5.0,6,1,2,0,0,45
40,1.0,193520.0,16,1,6.0,3,1,1,0,0,60
54,1.0,302150.0,9,4,3.0,6,5,2,0,0,20
35,4.0,76845.0,5,1,10.0,3,5,1,0,0,40
43,1.0,117040.0,7,1,11.0,3,1,1,0,2042,40
59,1.0,109020.0,9,2,1.0,6,1,2,0,0,40
56,5.0,216850.0,13,1,1.0,3,1,1,0,0,40
19,1.0,168290.0,9,3,2.0,2,1,1,0,0,40
39,1.0,367260.0,9,2,5.0,4,1,1,0,0,80
49,1.0,193370.0,9,1,2.0,3,1,1,0,0,40
23,5.0,190710.0,12,3,13.0,4,1,1,0,0,52
20,1.0,266020.0,10,3,4.0,2,5,1,0,0,44
45,1.0,386940.0,13,2,5.0,2,1,1,0,1408,40
21,1.0,197200.0,10,3,8.0,2,1,1,0,0,40
48,2.0,265480.0,12,1,6.0,3,1,1,0,0,40
53,2.0,88506.0,13,1,6.0,3,1,1,0,0,40
24,1.0,172990.0,13,1,1.0,3,1,1,0,0,50
49,1.0,94638.0,9,4,9.0,6,1,2,0,0,40
53,1.0,144360.0,9,1,8.0,3,1,1,0,0,38
44,1.0,128350.0,14,2,5.0,6,1,2,0,0,40
41,6.0,101600.0,11,1,2.0,3,1,1,0,0,40
18,1.0,226960.0,9,3,3.0,2,1,2,0,0,30
50,4.0,251580.0,13,2,5.0,4,1,1,0,0,55
47,3.0,109830.0,9,2,5.0,4,1,1,0,0,60
43,1.0,237990.0,10,1,1.0,3,1,1,0,0,40
35,1.0,56352.0,11,1,3.0,3,1,1,0,0,40
41,1.0,147370.0,9,1,9.0,3,1,1,0,0,48
30,1.0,59496.0,13,1,4.0,3,1,1,2407,0,40
32,,293940.0,4,6,,4,1,1,0,0,40
48,1.0,149640.0,9,1,11.0,3,1,1,0,0,40
42,1.0,116630.0,16,1,6.0,3,1,1,0,0,45
29,1.0,105600.0,10,2,1.0,4,1,1,0,0,58
28,1.0,183180.0,10,2,9.0,4,1,2,0,0,40
53,1.0,169850.0,9,1,9.0,1,1,2,0,0,40
25,,200680.0,10,3,,2,1,1,0,0,40
19,1.0,101510.0,10,3,6.0,2,1,1,0,0,32
